ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
271;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 846";"109388, г. Москва, ул. Полбина, д. 44";"Юго-Восточный административный округ";"район Печатники";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"354-28-07";"schuv846.mskobr.ru";"sch846@mail.ru";"37,727064";"55,680343";"86899612";
272;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 894";"109507, г. Москва, Ферганский проезд, д. 10, к. 4";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"377-90-81";"schuv894.mskobr.ru";"sch894@mail.ru";"37,81848";"55,697445";"86899613";
273;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 911";"109428, г. Москва, Зарайская улица д. 55";"Юго-Восточный административный округ";"Рязанский район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 170-90-38";"schuv911.mskobr.ru";"sk911@rambler.ru";"37,778266";"55,727502";"86899614";
274;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 913";"109380, г. Москва, ул. Степана Шутова, д. 8, кор. 3";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"377-69-71";"schuv913.mskobr.ru";"school_913@mail.ru";"37,810452";"55,674772";"86899615";
275;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 918";"109383, г. Москва, ул. Полбина, д. 68, стр. 1";"Юго-Восточный административный округ";"район Печатники";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 354-07-10";"schuv918.mskobr.ru";"school918@mail.ru";"37,722442";"55,670273";"86899616";
276;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1039";"109559, г. Москва, ул. Белореченская, д. 23А";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"359-35-36";"schuv1039.mskobr.ru";"shkola1039@yandex.ru";"37,768899";"55,671468";"86899618";
277;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1040";"109144, г. Москва, Батайский проезд, д.47";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 348-50-10";"sch1040uv.mskobr.ru";"UVAO1040@mail.ru";"37,737486";"55,643823";"86899619";
278;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1043";"109652, г. Москва, ул. Люблинская, дом 173";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"658-57-83";"schuv1043.mskobr.ru";"sh1043@mail.ru";"37,748498";"55,647029";"86899620";
279;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1049";"109651, г.Москва, ул.Донецкая, д.14";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"357-11-40";"schuv1049.mskobr.ru";"school1049@yandex.ru";"37,713907";"55,651124";"86899621";
280;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1";"119311, г.Москва , Ломоносовский проспект, дом 21";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"930-22-24";"";"sch0001@rambler.ru";"37,537704";"55,689229";"86899622";
281;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 3";"117420, г. Москва, улица Новочеремушкинская, дом 62, корпус 2";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"331-08-22";"";"sch3@mosuzedu.ru";"37,557692";"55,665051";"86899624";
282;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 4";"117218, г.Москва, ул.Профсоюзная, д. 9А";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 125-37-94";"http://schuz4/mskobr/ru.";"moschool4@yandex.ru";"37,570968";"55,682217";"86899625";
283;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 5";"117638, г. Москва, улица Сивашская, дом 2, корпус 1";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 317-90-81";"http://schuz5.mskobr.ru";"school5@narod.ru";"37,606018";"55,66041";"86899627";
284;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 9";"119421, г.Москва, ул.Новаторов, д.34, корп.1, 2";"Юго-Западный административный округ";"Обручевский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"936-40-06";"http://schuz9.mskobr.ru/";"school9msk@mail.ru";"37,524951";"55,663587";"86899629";
285;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 11";"119311, г.Москва, Ломоносовский проспект, д.13";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"930-36-39";"http://schuz11.mskobr.ru/";"mosschool11@mail.ru";"37,539442";"55,688224";"86899630";
286;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 15";"117246, г.Москва, ул.Херсонская, дом 27 А";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"331-56-11";"http://schuz15.mskobr.ru";"school15@mosuzedu.ru";"37,559724";"55,652235";"86899632";
287;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 17";"117279, г. Москва, ул. Введенского, д.28";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"420-98-11";"";"info@sch17.ru";"37,532198";"55,636499";"86899633";
288;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1141";"109651, г. Москва, Батайский проезд, дом 21";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"356-43-71";"schuv1141.mskobr.ru";"sch1141@mail.ru";"37,718832";"55,643584";"86899634";
289;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 18";"117463, г. Москва, проезд Карамзина, дом 9, корпус 3";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"423-08-33";"http://schuz18.mskobr.ru/";"18school@list.ru";"37,53913";"55,59068";"86899635";
290;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1142";"109369, г. Москва, ул. Перерва, д. 36";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"356-35-81";"schuv1142.mskobr.ru";"school1142@mail.ru";"37,735912";"55,650713";"86899636";
291;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 20";"117437, г.Москва, ул. Академика Арцимовича, дом 7";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"336-00-11";"";"sch20@mosuzedu.ru";"37,515137";"55,64235";"86899637";
292;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1143";"109387, г. Москва, ул. Краснодарская, дом 9";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"350-86-62";"sch1143uv.mskobr.ru";"sch1143@yandex.ru";"37,74238";"55,67846";"86899638";
293;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 22";"119333, г. Москва, Университетский проспект, дом 4А";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 137-57-84";"";"";"37,555324";"55,698627";"86899639";
294;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 25";"119296, г.Москва, Университетский проспект, дом 7";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"938-00-25";"http://schuz25.mskobr.ru";"direkt@sch25.mosuzedu.ru";"37,548891";"55,695269";"86899640";
295;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 26";"119296, г.Москва, Университетский проспект, дом 3";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"930-50-70";"http://schuz26.mskobr.ru";"mosschool26@gmail.com";"37,551367";"55,695813";"86899641";
296;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1145 имени Фритьофа Нансена";"Юго-Восточный   Марьино   ул. Маршала Голованова  Дом- 9";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"356-77-31";"schuv1145.mskobr.ru";"skl1145@mail.ru";"37,732021";"55,648623";"86899642";
297;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1147";"109144, г. Москва, Батайский пр., д. 45";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"357-45-30";"schuv1147.mskobr.ru";"shkola1147@mail.ru";"37,736159";"55,644147";"86899643";
298;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 49";"""117279, г.Москва, ул.Генерала Антонова, дом 4 """"А""""""";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"334-23-31";"schuz49.mskobr.ru";"pen@sch49.mosuzedu.ru";"37,535585";"55,645685";"86899650";
299;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 51";"117513, г.Москва, Ленинский пр-т, дом 125, корп.4";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 438-24-56";"schuz51.mskobr.ru";"sch51@mosuzedu.ru";"37,482566";"55,644254";"86899651";
300;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 53";"119261, г. Москва, улица Панфёрова, дом 8, корпус 1";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"134-55-97";"http://schuz53.mskobr.ru";"adm@sch53.ru";"37,54237";"55,681972";"86899652";
301;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 102";"117449, г.Москва, улица Шверника, дом 10";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"126-93-44";"http://schuz102.mskobr.ru/";"slisowsk@mail.ru";"37,585919";"55,691978";"86899653";
302;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 103";"117485, г.Москва, ул.Академика Волгина, дом 11";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"336-65-33";"";"school103@yandex.ru";"37,519305";"55,651052";"86899654";
303;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 104";"117292, г.Москва, улица Ивана Бабушкина, дом 15, корпус 5";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 125-37-20";"https://schuz104.mskobr.ru";"gousosh104@mail.ru";"37,564412";"55,684197";"86899655";
304;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 107";"117463, г.Москва, улица Голубинская, дом 28, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"421-82-00";"http://shuz107.mskobr.ru";"school-107@yandex.ru";"37,540808";"55,594084";"86899656";
305;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 108";"117574, г.Москва, ул. Вильнюсская, д.14";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"422-61-55";"http://schuz108.mskobr.ru/";"sch108@mosuzedu.ru";"37,516907";"55,598105";"86899657";
306;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 113";"117437, г.Москва, ул. Профсоюзная, дом 118-Б";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"335-92-77";"";"school@kmail.ru";"37,516519";"55,637748";"86899658";
307;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 119";"119331, г.Москва, ул. Марии Ульяновой, дом 5А";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"138-03-58";"http://schuz119.mskobr.ru";"sch119@yandex.ru";"37,521726";"55,680011";"86899660";
308;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 120";"119296, г. Москва, Ломоносовский проспект, дом 4, корпус 3";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"938-00-46";"http://schuz120.mskobr.ru";"school120@mail.ru";"37,547636";"55,691573";"86899661";
309;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 121";"117393, г. Москва, ул. Гарибальди, дом 28, корпус 3";"Юго-Западный административный округ";"Обручевский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"128-67-11";"http://schuz121.mskobr.ru/";"skola121@mail.ru";"37,548941";"55,668905";"86899662";
310;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 125";"117574, г.Москва, улица Голубинская, дом 5, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"423-39-00";"http://schuz125.mskobr.ru/";"abrocimova125@inbox.ru";"37,517208";"55,606738";"86899663";
311;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 156";"117463, г.Москва, улица Паустовского, дом 5, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"422-24-22";"http://schuz156.mskobr.ru/";"mail@156.ru";"37,542287";"55,599655";"86899664";
312;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 176";"117485, г.Москва, ул.Профсоюзная, д.98А";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"336-17-44";"";"sch176@mosuzedu.ru";"37,52555";"55,645967";"86899666";
313;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 187";"119261, г. Москва, Ломоносовский проспект, дом 3 А";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"138-48-81";"http://schuz187.mskobr.ru/";"sch187@bk.ru";"37,548843";"55,68487";"86899667";
314;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 190";"117335, г. Москва, Профсоюзная ул., дом 40, кор.2";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"128-18-11";"http://schuz190.mskobr.ru/";"sch190@mosuzedu.ru";"37,556594";"55,676168";"86899668";
315;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 191";"117218, г.Москва, ул. Профсоюзная, д. 15 А";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"125-63-55";"http://schuz191.mskobr.ru";"sch191@mosuzedu.ru";"37,568387";"55,678202";"86899669";
316;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 192";"119334, г.Москва, Ленинский проспект, д. 34А";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"137-72-85";"http://schuz192.mskobr.ru/";"";"37,572533";"55,706797";"86899670";
317;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 193";"117418, г.Москва, улица Новочерёмушкинская, дом 56, корпус 2";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 128-82-09";"http://schuz193.mskobr.ru/";"sch193@ou.mosuzedu.ru";"37,563846";"55,669386";"86899671";
318;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 197";"117447, г.Москва, улица Новочеремушкинская, дом 11 А";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"129-71-55";"http://schuz197.mskobr.ru/";"school-197@yandex.ru";"37,586364";"55,685945";"86899672";
319;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 200";"117574, г. Москва, ул. Голубинская, дом 21, корпус 3";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"421-93-50";"http://schuz200.mskobr.ru";"school_200@mail.ru";"37,524368";"55,601468";"86899673";
320;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 516";"117149, г. Москва, ул. Одесская, д. 13";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"310-26-66";"http://schuz516.mskobr.ru/";"sch516.msk@gmail.com";"37,596974";"55,660273";"86899675";
321;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 517";"117186, город Москва, Нахимовский проспект, дом 10";"Юго-Западный административный округ";"район Котловка";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"121-92-33";"http://schuz517.mskobr.ru/";"school517@mail.ru";"37,595399";"55,667839";"86899676";
322;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 520";"117447, г.Москва, ул.Винокурова, д.19";"Юго-Западный административный округ";"район Котловка";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 724-23-00";"http://schuz520.mskobr.ru/";"s520@list.ru";"37,59848";"55,685026";"86899677";
323;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 522";"117447, г.Москва, Севастопольский проспект, д.20А";"Юго-Западный административный округ";"район Котловка";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"129-39-88";"http://schuz522.mskobr.ru";"sk522@mail.ru";"37,596921";"55,681649";"86899679";
324;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 524";"117303, г.Москва, Балаклавский проспект, д. 32А";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"318-99-07";"http://schuz524.mskobr.ru";"";"37,584042";"55,646269";"86899681";
325;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 531";"117209, г.Москва, Перекопская улица, д. 7, к. 3";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"122-91-00";"";"sch531@ou.mosuzedu.ru";"37,580237";"55,656997";"86899682";
326;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 535";"117452, г. Москва, ул. Азовская, д.31;";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"310-54-22";"http:// schuz535.mskobr.ru";"SOSH535@yandex.ru";"37,599704";"55,649571";"86899687";
327;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 536";"117452, г.Москва, ул.Азовская, д.41";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"318-59-09";"";"sch536@rambler.ru; kollegia@list.ru";"37,596698";"55,644408";"86899688";
328;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 538 имени С.В. Гришина";"117461, г.Москва, ул.Каховка, д.19, корп.2";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"121-60-92";"http://schuz538.mskobr.ru";"sch538@mail.ru";"37,576893";"55,652307";"86899689";
329;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 541";"117186, г.Москва, ул. Ремизова, дом 12";"Юго-Западный административный округ";"район Котловка";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"127-66-74";"http://schuz541.mskobr.ru";"sch541@mosuzedu.ru";"37,601734";"55,675341";"86899691";
330;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 584";"117292, г.Москва, ул.Профсоюзная, д.24, корп.4";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"125-59-21";"http://schuz584.mskobr.ru/";"sch584@mosuzedu.ru";"37,562045";"55,680573";"86899708";
331;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 626 имени Н.И.Сац";"117186, г. Москва, Севастопольский проспект, дом 43а";"Юго-Западный административный округ";"район Котловка";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"127-48-74";"http://schuz626.mskobr.ru";"s626@rambler.ru";"37,590078";"55,67177";"86899710";
332;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 658";"117461, город Москва, улица Каховка, дом 12 корпус 2";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"310-83-43";"";"school658@mosuzedu.ru";"37,578974";"55,656084";"86899711";
