ROWNUM;CommonName;FullName;ShortName;AdmArea;District;Address;ChiefName;ChiefPosition;PublicPhone;Fax;Email;WorkingHours;ClarificationOfWorkingHours;WebSite;OKPO;INN;MainHallCapacity;AdditionalHallCapacity;X_WGS;Y_WGS;GLOBALID;
42;"Театр имени Гоголя";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени Н. В. Гоголя»";"ГБУК г. Москвы «МДТ им. Н. В. Гоголя»";"Центральный административный округ";"Басманный район";"улица Казакова, дом 8А, строение 1";"Шлаустас Анатолий Венцасович";"директор";"(499) 261-40-21; (499) 261-64-10; (499) 261-70-46";"(499) 261-32-31";"actor-gogol@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"gogol-theatre.ru";"2190111";"7709018353";"376";"100";"37.661609";"55.761538";"87036527";
43;"Театрально-концертное объединение Градского";"Государственное бюджетное учреждение культуры города Москвы «Московское театрально-концертное музыкальное объединение под руководством А. Градского»";"ГБУК г. Москвы «МТКМО п/р А. Градского»";"Центральный административный округ";"Тверской район";"Петровский бульвар, дом 23";"Градский Александр Борисович";"директор";"(495) 629-74-61; (903) 661-39-30";"(495) 629-04-14";"mtkmo@inbox.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"";"5118195";"7707105586";"";"";"37.620561";"55.767604";"87036528";
44;"Театр «Человек»";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «Человек»";"ГБУК г. Москвы «МДТ «Человек»";"Центральный административный округ";"Пресненский район";"Скатертный переулок, дом 23А";"Рошкован Людмила Романовна";"директор";"(495) 691-15-11; (495) 691-19-21";"(495) 691-19-21";"buh@chelovek-theatre.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"chelovek-theatre.ru";"4537903";"7703127934";"80";"35";"37.591888";"55.75652";"87036529";
45;"Театр Станиславского";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени К. С. Станиславского»";"ГБУК г. Москвы «МДТ им. К. С. Станиславского»";"Центральный административный округ";"Тверской район";"Тверская улица, дом 23";"Хвостов Борис Вячеславович";"директор";"(495) 699-44-36; (495) 699-39-75; (495) 699-36-36";"(495) 699-65-19; (495) 699-39-75";"2411576@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatr-stanislavsky.ru";"2190105";"7710009515";"456";"";"37.600065";"55.766626";"87036530";
46;"Театр Луны";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «Театр Луны»";"ГБУК г. Москвы «Московский театр «Театр Луны»";"Центральный административный округ";"район Замоскворечье";"улица Малая Ордынка, дом 31, строение 1";"Проханов Сергей Борисович";"директор";"(495) 951-04-42; (495) 953-00-62";"(495) 953-00-62";"lunatheatre@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"lunatheatre.ru";"11512513";"7710018171";"329";"100";"37.626175";"55.733621";"87036531";
47;"Театр «Сопричастность»";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «Сопричастность»";"ГБУК г. Москвы «МДТ «Сопричастность»";"Центральный административный округ";"Басманный район";"улица Радио, дом 2, строение 2";"Сиренко Игорь Михайлович";"директор";"(499) 265-33-68; (499) 632-11-28; (499) 263-07-41; (499) 263-07-42";"(499) 263-07-41";"teatr1990@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"soprichastnost.ru";"17653663";"7709166249";"94";"";"37.672604";"55.763847";"87036532";
48;"Театр «На досках»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «На досках»";"ГБУК г. Москвы «Московский театр «На досках»";"Центральный административный округ";"Тверской район";"2-й Колобовский переулок, дом 9/2, строение 4";"Несмелова Наталья Михайловна";"директор";"(495) 691-54-72; (495) 691-53-65";"(495) 691-54-72";"nadoskah@ecc.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"kurginyan.ru";"3812951";"7703014835";"148";"";"37.617225";"55.769641";"87036533";
49;"Театр «Каскадер»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр спортивно-зрелищных представлений «Каскадер»";"ГБУК г. Москвы «МТСЗП «Каскадер»";"Центральный административный округ";"Пресненский район";"Малая Бронная улица, дом 12";"Бранопольский Григорий Александрович";"директор";"(495) 690-69-53";"(495) 690-69-53";"buhkaskader@gmail.com";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"";"2701190";"7703108434";"";"";"37.597437";"55.761403";"87036534";
50;"Театр русской драмы";"Государственное бюджетное учреждение культуры города Москвы «Московский театр русской драмы под руководством Михаила Щепенко»";"ГБУК г. Москвы «Московский театр русской драмы п/р М. Щепенко»";"Центральный административный округ";"Таганский район";"улица Земляной Вал, дом 64";"Баснина Тамара Сергеевна";"директор";"(495) 915-57-80; (495) 915-71-36; (495) 915-75-21";"(495) 915-71-36; (495) 915-75-21";"info@Kamsс.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"rus-drama.ru";"3813028";"7709132909";"115";"";"37.654756";"55.746201";"87036535";
51;"Театрально-культурный центр имени Мейерхольда";"Государственное бюджетное учреждение культуры города Москвы «Театрально-культурный центр имени Всеволода Мейерхольда»";"ГБУК г. Москвы «ТКЦ им. Вс. Мейерхольда»";"Центральный административный округ";"Тверской район";"Новослободская улица, дом 23";"Флейшер Владимир Натанович";"директор";"(495) 363-10-46; (495) 363-10-41; (495) 363-10-44; (495) 363-10-84";"(495) 363-10-41";"meyerhold.403@gmail.com";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"meyerhold.ru";"51100329";"7707651088";"250";"40";"37.598007";"55.781418";"87036536";
52;"Театр А.Р.Т.О";"Государственное бюджетное учреждение культуры города Москвы «Московский театр А. Р. Т. О.»";"ГБУК г. Москвы «Московский театр А. Р. Т. О.»";"Центральный административный округ";"Красносельский район";"Сретенский бульвар, дом 6/1, строение 2";"Рощин Николай Александрович";"директор";"(495) 624-59-90";"(495) 624-59-90";"artoteatr@gmail.com";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"artoteatr.com";"42746848";"7708064237";"64";"";"37.634908";"55.76564";"87036537";
53;"Детский театр «А-Я»";"Государственное бюджетное учреждение культуры города Москвы «Детский музыкально-драматический театр «А-Я»";"ГБУК г. Москвы «Детский музыкально-драматический театр «А-Я»";"Центральный административный округ";"Тверской район";"Петровский переулок, дом 5Е, строение 9";"Еременко Вячеслав Дмитриевич";"директор";"(495) 621-30-47";"(495) 621-30-47";"teatraya@cumail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"a-ia.ru";"28925780";"7707057082";"50";"";"37.614007";"55.766253";"87036538";
54;"Открытый студенческий театр";"Государственное бюджетное учреждение культуры города Москвы «Московский Открытый студенческий театр»";"ГБУК г. Москвы «МОСТ»";"Центральный административный округ";"Пресненский район";"Большая Садовая улица, дом 6";"Большакова Ирина Александровна";"директор";"(495) 699-59-41; (495) 699-81-37";"(495) 699-81-37";"most_theatre@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"sadovaya6.ru";"53758331";"7706211743";"60";"";"37.592122";"55.766158";"87036540";
55;"Детский музыкальный театр «Экспромт»";"Государственное бюджетное учреждение культуры города Москвы «Московский детский музыкальный театр «Экспромт»";"ГБУК г. Москвы «Московский детский музыкальный театр «Экспромт»";"Центральный административный округ";"Басманный район";"улица Макаренко, дом 2/21, строение 2";"Захаренков Юрий Анатольевич";"директор";"(495) 621-01-16; (495) 621-38-93";"(495) 621-38-93";"ekspromt.buh@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatr-expromt.ru";"35256747";"7701017196";"75";"";"37.647324";"55.7609";"87036515";
56;"Театр Пушкина";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр имени А. С. Пушкина»";"ГБУК г. Москвы «МДТ им. А. С. Пушкина»";"Центральный административный округ";"Пресненский район";"Тверской бульвар, дом 23, строение 1";"Орлов Вячеслав Евгеньевич";"директор";"(495) 694-13-38; (495) 694-01-02";"(495) 694-01-02";"director@teatrpushkin.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatrpushkin.ru";"2190074";"7703035553";"824";"62";"37.601677";"55.762271";"87036516";
57;"Ленком";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный театр «Ленком»";"ГБУК г. Москвы «Московский государственный театр «Ленком»";"Центральный административный округ";"Тверской район";"улица Малая Дмитровка, дом 6, строение 1";"Варшавер Марк Борисович";"директор";"(495) 699-12-61; (495) 699-77-30; (495) 234-99-64";"(495) 234-99-64";"6506452@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"lenkom.ru";"2190217";"7707062124";"639";"";"37.606768";"55.767723";"87036517";
58;"Театр «ЕТ СЕТЕRA» Александра Калягина";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «ЕТ СЕТЕRA» под руководством Александра Калягина»";"ГБУК г. Москвы «Московский театр «ETC» п/р А. Калягина";"Центральный административный округ";"Красносельский район";"Фролов переулок, дом 2";"Калягин Александр Александрович";"директор";"(495) 625-06-40; (495) 625-07-51";"(495) 625-06-40";"etc-theatre@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"et-cetera.ru";"28929140";"7707098113";"525";"100";"37.635663";"55.765065";"87036518";
59;"Театр Табакова";"Государственное бюджетное учреждение культуры города Москвы «Московский театр под руководством О. Табакова»";"ГБУК г. Москвы «Московский театр п/р О. Табакова»";"Центральный административный округ";"Басманный район";"улица Чаплыгина, дом 1А, строение 1";"Стульнев Александр Сергеевич";"директор";"(495) 621-12-71; (495) 621-41-32";"(495) 621-41-32";"tabakov@theatre.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"tabakov.ru";"3558659";"7701117909";"114";"";"37.64609";"55.764208";"87036519";
60;"Центр новой драмы «Практика»";"Государственное бюджетное учреждение культуры города Москвы «Экспериментальный театральный центр новой драмы «Практика»";"ГБУК г. Москвы «Театр «Практика»";"Центральный административный округ";"Пресненский район";"Трёхпрудный переулок, дом 11/13, строение 1";"Бояков Эдуард Владиславович";"директор";"(495) 258-55-65; (495) 699-44-92; (495) 699-44-73";"(495) 694-44-73";"teh@praktikatheatre.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"praktikatheatre.ru";"78487718";"7710593781";"87";"";"37.595337";"55.765643";"87036505";
61;"Школа драматического искусства";"Государственное бюджетное учреждение культуры города Москвы «Театр «Школа драматического искусства»";"ГБУК г. Москвы «Театр «Школа драматического искусства»";"Центральный административный округ";"Мещанский район";"улица Сретенка, дом 19";"Соколова Ольга Эдуардовна";"директор";"(495) 632-92-55; (495) 632-99-55";"(495) 632-92-55";"theatre@sdart.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"sdart.ru";"97291151";"7702619852";"141";"94";"37.631874";"55.770162";"87036506";
62;"Новый балет";"Государственное бюджетное учреждение культуры города Москвы «Московский государственный музыкальный театр пластического балета «Новый балет»";"ГБУК г. Москвы «Театр «Новый балет»";"Центральный административный округ";"Басманный район";"Новая Басманная улица, дом 25/2, строение 1";"Чернова Аида Артуровна";"директор";"(495) 632-18-33; (495) 632-19-63; (495) 632-29-11; (499) 265-75-10";"(495) 632-18-33";"newballet@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"newballet.ru";"17663615";"7701015505";"62";"";"37.663441";"55.769883";"87036507";
63;"Театр имени Станиславского и Немировича-Данченко";"Государственное бюджетное учреждение культуры города Москвы «Московский академический Музыкальный театр имени народных артистов К. С. Станиславского и Вл. И. Немировича-Данченко»";"ГБУК г. Москвы «МАМТ им. К. С. Станиславского и Вл. И. Немировича-Данченко»";"Центральный административный округ";"Тверской район";"улица Большая Дмитровка, дом 17";"Урин Владимир Георгиевич";"директор";"(495) 629-90-48; (495) 629-06-49";"(495) 629-06-49";"office@stanmus.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"stanmus.ru";"2190176";"7710081367";"1062";"206";"37.610516";"55.764579";"87036509";
64;"Театр Романа Виктюка";"Государственное бюджетное учреждение культуры города Москвы «Театр Романа Виктюка»";"ГБУК г. Москвы «Театр Романа Виктюка»";"Восточный административный округ";"район Сокольники";"улица Стромынка, дом 6";"Апексимова Ирина Викторовна";"директор";"(499) 268-06-69; (499) 268-36-35";"(499) 268-36-35";"2686538@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatrviktuka.ru";"45351122";"7718120924";"";"";"37.68728";"55.791257";"87036555";
65;"Театр на Перовской";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр на Перовской»";"ГБУК г. Москвы «МДТ на Перовской»";"Восточный административный округ";"район Новогиреево";"Перовская улица, дом 75";"Панченко Андрей Маратович";"директор";"(495) 370-38-00; (495) 370-61-00";"(495) 370-38-00; (495) 370-61-00";"teatrperovo@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatrperovo.ru";"17929674";"7720051308";"72";"30";"37.812629";"55.745459";"87036556";
66;"Театр иллюзии";"Государственное бюджетное учреждение культуры города Москвы «Московский театр иллюзии»";"ГБУК г. Москвы «Московский театр иллюзии»";"Восточный административный округ";"район Вешняки";"Вешняковская улица, дом 16А";"Ляшенко Анатолий Николаевич";"директор";"(495) 374-03-11; (495) 374-58-41";"(495) 374-03-11";"teatrmagic@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatrmagic.ru";"5187635";"7720056169";"167";"";"37.826305";"55.724736";"87036557";
67;"Детский театр теней";"Государственное бюджетное учреждение культуры города Москвы «Московский детский театр теней»";"ГБУК г. Москвы «Московский детский театр теней»";"Восточный административный округ";"район Восточное Измайлово";"Измайловский бульвар, дом 60/10";"Григорьев Вадим Борисович";"директор";"(495) 465-50-70";"(495) 465-50-70";"info@teniteatr.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"";"26469786";"7719013636";"150";"";"37.813155";"55.796585";"87036558";
68;"Детский музыкальный театр под руководством Чихачева";"Государственное бюджетное учреждение культуры города Москвы «Московский детский музыкальный театр под руководством Геннадия Чихачева»";"ГБУК г. Москвы «Московский театр п/р Геннадия Чихачева»";"Юго-Восточный административный округ";"Рязанский район";"1-я Новокузьминская улица, дом 1";"Чихачёв Геннадий Александрович";"директор";"(495) 371-73-33";"(495) 379-64-21";"dir-teatr@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatr-chikhachev.ru";"28945245";"7721032971";"83";"";"37.784109";"55.717065";"87036559";
69;"Театр";"Театр ГИТИС";"Театр";"Центральный административный округ";"Тверской район";"Большой Гнездниковский пер., д.10";"";"";"(495) 629 70 87, 629 86 61";"";"";"";"";"gitis.net";"";"";"";"";"37.605811";"55.763312";"85978531";
70;"Театр";"РАТИ (ГИТИС)";"Театр";"Центральный административный округ";"Пресненский район";"Малый Кисловский пер., д.6";"";"";"(495) 290 04 11";"";"info@gitis.net";"";"";"gitis.net";"";"";"";"";"37.603467";"55.754715";"85978532";
71;"Театр";"Театр п/р Владимира Назарова";"Театр";"Западный административный округ";"район Тропарёво-Никулино";"Мичуринский пр-т, Олимпийская Деревня, д.1";"";"";"(495) 430 04 10, 430 04 00, 437 56 50";"";"info@teatrnazarova.ru";"";"";"mtvn.ru";"";"";"";"";"37.468865";"55.677519";"85978533";
72;"Театр";"Театр им. Вахтангова";"Театр";"Центральный административный округ";"район Арбат";"ул. Арбат, д.26";"";"";"(499) 241 16 79, 241 16 93";"";"vahtangov@theatre.ru";"";"";"vakhtangov.ru";"";"";"";"";"37.59145";"55.749865";"85978534";
73;"Театр";"Театр-студия ИРТ";"Театр";"Центральный административный округ";"район Замоскворечье";"Раушская наб., д.14";"";"";"(495) 726 16 89, 725 87 33, 580 10 16";"";"info@teatr-irt.ru";"";"";"teatr-irt.ru";"";"";"";"";"37.632301";"55.747985";"85978535";
74;"Театр";"Дельфинарий";"Театр";"Восточный административный округ";"район Соколиная Гора";"ул. Мироновская, д.27";"";"";"499) 369 55 58";"";"";"";"";"dolphinshow.ru";"";"";"";"";"37.73241";"55.788734";"85978536";
75;"Театр";"РАМТ";"Театр";"Центральный административный округ";"Тверской район";"Театральная пл., д.2";"";"";"(495) 692 00 69, 692 18 79, 692 65 72";"";"ramt@ramt.ru";"";"";"ramt.ru";"";"";"";"";"37.617347";"55.759222";"85978537";
76;"Театр";"Другой театр";"Театр";"Центральный административный округ";"Тверской район";"ул. Лесная, д.18";"";"";"(499) 973 21 41, 973 34 61, 250 41 15";"";"dteatr@mail.ru";"";"";"dteatr.ru";"";"";"";"";"37.590251";"55.778988";"85978538";
77;"Театр";"Малый театр";"Театр";"Центральный административный округ";"Тверской район";"Театральный пр-д, д.1, стр. 1";"";"";"(495) 623 26 21, 624 40 83, 624 40 46";"";"theatre@maly.ru";"";"";"maly.ru";"";"";"";"";"37.620677";"55.759516";"85978539";
78;"Театр";"Большой театр";"Театр";"Центральный административный округ";"Тверской район";"Театральная пл., д.1";"";"";"(499) 608 73 17";"";"pr@bolshoi.ru";"";"";"bolshoi.ru";"";"";"";"";"37.61853";"55.760204";"85978540";
79;"Театр";"Грим Масса";"Театр";"Центральный административный округ";"Тверской район";"Петровские линии, д.1/20";"";"";"(495) 625 24 58";"";"Grimmassa@bk.ru";"";"";"grimmassa.ucoz.ru";"";"";"";"";"37.618038";"55.764202";"85978541";
80;"Театр";"С.А.Д.";"Театр";"Центральный административный округ";"Мещанский район";"пр-т Мира, д.26";"";"";"(495) 662 27 81";"";"";"";"";"teatr-sad.ru";"";"";"";"";"37.633298";"55.777712";"85978542";
81;"Театр";"Театр вкуса";"Театр";"Центральный административный округ";"Тверской район";"Новолесной пер., д.11/13";"";"";"(499) 250 20 84, 250 81 34";"";"pochta@teatrvkusa.ru";"";"";"teatrvkusa.ru";"";"";"";"";"37.587624";"55.783021";"85978543";
82;"Театр";"Театр.doc";"Театр";"Центральный административный округ";"Пресненский район";"Трехпрудный пер., д.11/13, стр. 1";"";"";"(916) 653 09 89";"";"teatr-doc@yandex.ru";"";"";"teatrdoc.ru";"";"";"";"";"37.594947";"55.765661";"85978544";
83;"Театр";"Театр Школы-студии МХАТ им. Чехова";"Театр";"Центральный административный округ";"Тверской район";"Камергерский пер., д.3а";"";"";"(495) 692 41 67, 629 86 56";"";"mxat@list.ru";"";"";"mhatschool.theatre.ru, mxat.ru";"";"";"";"";"37.613476";"55.760363";"85978545";
84;"Театриум на Серпуховке Терезы Дуровой";"Государственное бюджетное учреждение культуры города Москвы «Театриум на Серпуховке под руководством Терезы Дуровой»";"ГБУК г. Москвы «Театр Терезы Дуровой»";"Южный административный округ";"Даниловский район";"Павловская улица, дом 6";"Дурова Тереза Ганнибаловна";"директор";"(495) 237-16-89; (495) 954-50-10";"(495) 954-50-10";"mail@durova.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"durova.ru";"32466332";"7725054895";"1018";"128";"37.626631";"55.719447";"87036560";
85;"Еврейский театр «Шалом»";"Государственное бюджетное учреждение культуры города Москвы «Московский еврейский театр «Шалом»";"ГБУК г. Москвы «Московский еврейский театр «Шалом»";"Южный административный округ";"Нагорный район";"Варшавское шоссе, дом 71, корпус 1";"Левенбук Альберт Симхович";"директор";"(499) 613-27-53; (499) 610-78-86";"(499) 610-29-98";"shalom.teatr@gmail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"shalom-theatre.ru";"1735040";"7726073570";"199";"";"37.62038";"55.659964";"87036561";
86;"Театр Армена Джигарханяна";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр под руководством Армена Джигарханяна»";"ГБУК г. Москвы «МДТ п/р Армена Джигарханяна»";"Юго-Западный административный округ";"Гагаринский район";"Ломоносовский проспект, дом 17";"Джигарханян Армен Борисович";"директор";"(495) 930-75-08; (499) 133-53-01; (495) 930-03-47; (495) 930-75-08";"(495) 930-03-47";"buhteatr@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"dzigartheater.ru";"42949126";"7729324609";"438";"90";"37.540524";"55.689781";"87036562";
87;"Театр «Бенефис»";"Государственное бюджетное учреждение культуры города Москвы «Московский драматический театр «Бенефис»";"ГБУК г. Москвы «МДТ «Бенефис»";"Юго-Западный административный округ";"район Черёмушки";"улица Гарибальди, дом 23, корпус 4";"Неровная Анна Михайловна";"директор";"(495) 120-30-70; (495) 120-40-66; (499) 744-40-71";"(495) 120-30-70; (495) 120-40-66; (499) 744-40-71";"buh-benefis@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"benefistheatre.ru";"3129527";"7728039292";"99";"";"37.55514";"55.672698";"87036563";
88;"Театр «Мастерская Фоменко»";"Государственное бюджетное учреждение культуры города Москвы «Московский театр «Мастерская П. Н. Фоменко»";"ГБУК г. Москвы «Московский театр «Мастерская П. Н. Фоменко»";"Западный административный округ";"район Дорогомилово";"Кутузовский проспект, дом 30";"Воробьев Андрей Михайлович";"директор";"(495) 645-33-55; (495) 645-33-18; (499) 249-98-52";"(499) 249-51-29";"fomenko@theatre.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"fomenko.theatre.ru";"29022198";"7703002886";"432";"144";"37.537758";"55.741622";"87036564";
89;"Фольклорный центр Людмилы Рюминой";"Государственное бюджетное учреждение культуры города Москвы «Московский культурный фольклорный центр под руководством Людмилы Рюминой»";"ГБУК г. Москвы «Фольклорный центр п/р Л. Рюминой»";"Западный административный округ";"район Филёвский Парк";"улица Барклая, дом 9";"Рюмина Людмила Георгиевна";"директор";"(499) 730-79-91; (499) 730-79-69; (499) 730-79-61";"(499) 730-79-91";"t7307969@yandex.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"";"51056019";"7730116466";"472";"";"37.49967";"55.741201";"87036565";
90;"Театр кошек Куклачева";"Государственное бюджетное учреждение культуры города Москвы «Театр кошек Куклачева»";"ГБУК г. Москвы «Театр кошек Куклачева»";"Западный административный округ";"район Дорогомилово";"Кутузовский проспект, дом 25";"Куклачев Юрий Дмитриевич";"директор";"(499) 249-65-70";"(499) 249-65-70";"tkk-69@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"kuklachev.ru";"76409269";"7730519779";"239";"";"37.546678";"55.743856";"87036566";
91;"Театр на Юго-Западе";"Государственное бюджетное учреждение культуры города Москвы «Московский театр на Юго-Западе»";"ГБУК г. Москвы «Московский театр на Юго-Западе»";"Западный административный округ";"район Тропарёво-Никулино";"проспект Вернадского, дом 125";"Леушин Олег Николаевич";"директор";"(495) 434-60-00";"(495) 434-60-00";"teatr.uz@gmail.com";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"teatr-uz.ru";"4583576";"7729217597";"114";"";"37.481523";"55.655538";"87036567";
92;"Ведогонь-театр";"Государственное бюджетное учреждение культуры города Москвы «Ведогонь-театр»";"ГБУК г. Москвы «Ведогонь-театр»";"Зеленоградский административный округ";"район Савёлки";"улица Юности, дом 6";"Курочкин Павел Викторович";"директор";"(499) 736-69-05";"(499) 736-76-63";"vedogon-teatr@mail.ru";"понедельник 11:00-22:00; вторник 11:00-22:00; среда 11:00-22:00; четверг 11:00-22:00; пятница 11:00-22:00; суббота 11:00-22:00; воскресенье 11:00-22:00";"";"vedogon-teatr.ru";"51092825";"7735026248";"104";"";"37.813629";"55.729579";"87036568";
